ds,y
2020/2/7,220
2020/2/8,222
2020/2/9,227.8
2020/2/10,227
2020/2/11,225.7
2020/2/12,225.1
2020/2/13,224.4
2020/2/14,218.3
2020/2/15,224.1
2020/2/16,227.7
2020/2/17,229
2020/2/18,228.8
2020/2/19,228.6
2020/2/20,225.1
2020/2/21,227.2
2020/2/22,228.9
2020/2/23,231.8
2020/2/24,229.2
2020/2/25,228.5
2020/2/26,229.7
2020/2/27,225.8
2020/2/28,228.7
2020/2/29,222.4
2020/3/1,235.2
2020/3/2,230.5
2020/3/3,230.8
2020/3/4,231.4
2020/3/5,231.7
2020/3/6,229.9
2020/3/7,234.6
2020/3/8,229.8
2020/3/9,233.2
2020/3/10,235.8
2020/3/11,235.8
